w K
9.78837163727664 511021.246831061
11.8766622539917 554909.315338608
14.4104771991103 603928.056974868
17.4848664267001 657824.895811257
21.2151582307364 715923.971370191
25.7412855077857 776991.948186529
31.2330350019896 839149.335550369
37.8964164451095 899919.583009754
45.9813905145522 956516.148453232
55.7912455050774 1006379.96027354
67.6939744573995 1047791.5494678
82.1360795292165 1080245.26208823
99.6593214463317 1104381.20496165
120.921042349123 1121564.85533601
146.718824396898 1133391.22752537
178.020409138193 1141330.79111193
216 1146568.805221
1.04723e-06 2856.16046345049
1.2706502647368e-06 3521.28455749436
1.5417359083255e-06 4305.75950803326
1.87065605460885e-06 5202.51878366271
2.26974934925494e-06 6182.02779238361
2.7539868142786e-06 7185.44268027035
3.34153344981022e-06 8127.78981013758
4.05442965024708e-06 8918.69776567463
4.91941799646993e-06 9497.34787001105
5.9689464392402e-06 9862.28679372257
7.24238550578227e-06 10074.9426256044
8.78750519011892e-06 10235.2345829755
1.06622669291375e-05 10447.4186337541
1.29369978860451e-05 10794.6337757836
1.56970291042108e-05 11328.0185297272
1.90458964953704e-05 12066.5047889431
2.31092247395436e-05 13001.5436426281
2.80394397917968e-05 14103.3358568222
3.4021486774174e-05 15327.546484706
4.12797677457139e-05 16622.501941226
5.00865596042561e-05 17936.7194151619
6.07722278973137e-05 19226.0223225307
7.37376196884801e-05 20459.0880000122
8.94691003678552e-05 21620.3833761936
0.00010855679847615 22710.036704195
0.000131716742953029 23740.9715315613
0.00015981772323514 24734.2432229221
0.000193913879795617 25713.760761181
0.000235284247680492 26701.4497019127
0.000285480736422388 27713.5641214291
0.00034638634618218 28758.4624582081
0.000420285803956725 29835.8434373596
0.000509951269599547 30937.2344116727
0.000618746326709065 32047.4216933502
0.000750752159351622 33146.4782334859
0.000910920647834635 34212.0513412843
0.00110526012654842 35221.6080744169
0.0013410607721339 36154.3932508223
0.00162716807686953 36992.9304481706
0.00197431466597171 37723.9816202619
0.00239552290613399 38338.9639043461
0.00290659340819327 38833.8902951681
0.00352669774892147 39208.94540882
0.00427909764647094 39467.8260759102
0.00519201756760495 39616.9725635629
0.00629970350046825 39664.7972480402
0.00764370761020345 39620.9918835169
0.00927444696816912 39495.9690732598
0.0112530948267253 39300.4722057826
0.0136538753861968 39045.3721649862
0.0165668481366598 38741.6576308924
0.0201012862224165 38400.616799604
0.0243897755603486 38034.1999374507
0.0295931884806854 37655.5432063313
0.0359067184643192 37279.6246750974
0.0435672023552774 36924.0145079926
0.0528620047234849 36609.6748844616
0.0641397976532513 36361.7632818679
0.0778236403352357 36210.3968064668
0.0944268491112257 36191.3455501698
0.114572253298169 36346.6381342652
0.139015559127231 36725.0796809676
0.168673698239691 37382.6971843941
0.204659224165082 38383.1349331419
0.248322047082485 39798.0191183772
0.301300072443823 41707.293395215
0.365580643044949 44199.4954183569
0.443575089395563 47371.8999738535
0.538209184965216 51330.4009925075
0.653032899515705 56188.9476676108
0.792353567651301 62068.2953313867
0.961397468083685 69093.7865095076
1.16650587486782 77391.8486981902
1.41537293499788 87084.8893341325
1.71733429576728 98284.2895856044
2.08371730905177 111081.247313394
2.52826594958443 125535.289860364
3.0676563870062 141660.356011124
3.7221225521337 159408.415589581
4.51621516405328 178650.64097734
5.47972269111147 199156.176262281
6.6487887934313 220568.629961042
8.06726816511423 242380.712079965
9.78837163727664 263908.281123865
11.8766622539917 284267.04314595
14.4104771991103 302359.110471033
17.4848664267001 316883.499601148
21.2151582307364 326394.424800151
25.7412855077857 329440.36008625
31.2330350019896 324813.575884716
37.8964164451095 311902.378221753
45.9813905145522 291050.755189765
55.7912455050774 263729.843361486
67.6939744573995 232331.401539036
82.1360795292165 199594.923686742
99.6593214463317 167943.550827523
120.921042349123 139055.025723614
146.718824396898 113786.000434827
178.020409138193 92341.4343475929
216 74517.7054065745
