s H
0.000962405446068342 13.0969695898775
0.00120537896287801 12.9922982036918
0.00150969474464684 12.8875761736755
0.00189083955519884 12.7821743612288
0.00236821002138474 12.6753329469953
0.00296609973594367 12.5663138381218
0.00371493556911008 12.4543879502736
0.0046528261054069 12.3388395705781
0.00582750100625351 12.2190040061704
0.00729873999340361 12.0943200332865
0.00914141506524724 11.9643853407163
0.0114493007657011 11.8290093351865
0.0143398464119448 11.688259372468
0.0179601531417691 11.5424967717767
0.0224944599551016 11.3923993400922
0.0281735197176512 11.2389677720977
0.0352863422756174 11.0835141125254
0.0441949022937282 10.9276314199822
0.0553525603049491 10.7731448504032
0.0693271344271719 10.6220455691259
0.0868297968766846 10.4764101613555
0.108751265834685 10.338309465611
0.136207134486825 10.2097118966376
0.170594644050525 10.0923872241104
0.213663789994351 9.98781729321825
0.267606380076208 9.89712018430503
0.335167576403026 9.82099371670021
0.419785597936369 9.75968297629932
0.525766692965842 9.71297474786427
0.658504285976335 9.68021952220103
0.824753451389464 9.66037936881799
1.03297468226848 9.65209770113158
1.29376444852703 9.65378508955038
1.62039445593829 9.66371401982585
2.02948704907213 9.6801149879617
2.54186112971269 9.70126661074356
3.18359163991623 9.72557345593398
3.98733652726737 9.75162690498102
4.99399872217874 9.77824632134525
6.25480770598889 9.80449983916317
7.83392660177332 9.82970595235884
9.8117174638655 9.85341856706837
12.288830938106 9.87539914995404
15.3913284174262 9.89558002670191
19.2770973615154 9.91402282919031
24.143886259006 9.93087571205197
30.2393681349334 9.94633243332449
37.8737447397863 9.96059582596959
47.4355328528641 9.97384758676463
59.4113360718567 9.98622563892873
74.4106082837008 9.99780922568663
93.1966690406283 10.0086111296903
116.725549227514 10.0185756291213
146.194643893606 10.0275801313209
183.103648212607 10.0354383302758
229.330877628908 10.0419030530122
287.228856155712 10.046667672197
359.744037355567 10.0493659799913
450.566750656573 10.04957161056
564.319003838191 10.0467993171724
706.789699037645 10.0405114848183
885.22923252282 10.030133981869
1108.71847054353 10.0150855751909
1388.63087860432 9.99482439861004
1739.21132212046 9.9689131876864
2178.30099387696 9.93710212869498
2728.24536016716 9.8994243447754
3417.03133138912 9.85629453600265
4279.71152821075 9.80859650046142
5360.18812483469 9.7577407551344
6713.44704993022 9.70567014183977
8408.35624469929 9.65479055384446
10531.1703826589 9.60780776166861
13189.9204078689 9.56746211345801
16519.911277135 9.53617148517123
20690.6076887015 9.51560883919661
25914.2582151929 9.50618992142431
32456.6967267184 9.50666533496455
40650.8707933058 9.51383231411911
50913.7855330087 9.52242840981826
63767.7251855594 9.52529127221978
79866.8323867751 9.51381981383911
100030.397774668 9.47872608541046
125284.554049939 9.41101970006257
156914.496319908 9.30312901741905
196529.886242129 9.15005146697441
246146.768413288 8.950450018125
308290.167764403 8.70766928765346
386122.589188836 8.43070556532428
483604.958805649 8.1351798200358
605698.197229885 7.84427280255793
758615.683002065 7.58935091689521
950139.454151729 7.40966921945419
1190016.23953151 7.3502091137037
1490453.47413031 7.45661362898472
1866740.54080274 7.76658798920207
2338026.85367947 8.29826315104192
2928296.38026486 9.03804701086757
3667588.19607973 9.93406091912767
4593525.1864112 10.9064826515182
