test,lamC,Nopt,error,log10cond
test1.dat,4.283763272363046,16,0.009908273035053936,2.0320471521050942
test1n.dat,4.317708878045626,15,0.0790788961361513,1.9774193352471274
test1u.dat,4.165171625447822,18,0.12564083521772684,4.571024097492098
test2.dat,3.178710003022182,10,0.01272166351136874,1.787240718693182
test3.dat,3.672372532325613,15,0.03342098091737279,5.70861932323054
test4.dat,4.648981161352629,14,0.0955114202081071,3.977357740801156
test5.dat,6.674399633870867,17,15.81087320519169,4.319889394613104
test6.dat,3.086625939851155,7,22.154709995342262,0.7125732484351499
test7.dat,3.343678373614087,7,0.6872616722880442,1.4180201517438715
