3.700000e-02	1.241167e+01	2.150530e+02
4.289052e-02	1.612208e+01	2.486089e+02
4.971884e-02	2.096299e+01	2.872889e+02
5.763424e-02	2.728186e+01	3.318246e+02
6.680980e-02	3.552931e+01	3.830276e+02
7.744614e-02	4.628628e+01	4.417867e+02
8.977582e-02	6.029636e+01	5.090582e+02
1.040684e-01	7.850251e+01	5.858467e+02
1.206365e-01	1.020869e+02	6.731727e+02
1.398422e-01	1.325106e+02	7.720229e+02
1.621055e-01	1.715475e+02	8.832797e+02
1.879133e-01	2.213051e+02	1.007626e+03
2.178297e-01	2.842188e+02	1.145428e+03
2.525089e-01	3.630087e+02	1.296596e+03
2.927091e-01	4.605825e+02	1.460443e+03
3.393094e-01	5.798738e+02	1.635552e+03
3.933286e-01	7.236140e+02	1.819693e+03
4.559478e-01	8.940496e+02	2.009818e+03
5.285362e-01	1.092635e+03	2.202161e+03
6.126809e-01	1.319751e+03	2.392474e+03
7.102217e-01	1.574511e+03	2.576381e+03
8.232914e-01	1.854710e+03	2.749813e+03
9.543621e-01	2.156948e+03	2.909463e+03
1.106300e+00	2.476939e+03	3.053160e+03
1.282426e+00	2.809939e+03	3.180113e+03
1.486593e+00	3.151238e+03	3.290960e+03
1.723263e+00	3.496616e+03	3.387631e+03
1.997612e+00	3.842694e+03	3.473063e+03
2.315639e+00	4.187132e+03	3.550831e+03
2.684296e+00	4.528673e+03	3.624760e+03
3.111645e+00	4.867040e+03	3.698597e+03
3.607029e+00	5.202753e+03	3.775766e+03
4.181280e+00	5.536874e+03	3.859227e+03
4.846954e+00	5.870770e+03	3.951446e+03
5.618605e+00	6.205884e+03	4.054447e+03
6.513106e+00	6.543563e+03	4.169934e+03
7.550014e+00	6.884946e+03	4.299455e+03
8.752001e+00	7.230917e+03	4.444581e+03
1.014535e+01	7.582111e+03	4.607084e+03
1.176052e+01	7.938978e+03	4.789097e+03
1.363284e+01	8.301873e+03	4.993237e+03
1.580323e+01	8.671173e+03	5.222701e+03
1.831915e+01	9.047395e+03	5.481316e+03
2.123562e+01	9.431306e+03	5.773567e+03
2.461640e+01	9.824014e+03	6.104599e+03
2.853542e+01	1.022704e+04	6.480216e+03
3.307835e+01	1.064235e+04	6.906877e+03
3.834453e+01	1.107241e+04	7.391719e+03
4.444911e+01	1.152015e+04	7.942592e+03
5.152556e+01	1.198904e+04	8.568138e+03
5.972859e+01	1.248306e+04	9.277903e+03
6.923758e+01	1.300677e+04	1.008248e+04
8.026044e+01	1.356542e+04	1.099369e+04
9.303816e+01	1.416511e+04	1.202481e+04
1.078501e+02	1.481296e+04	1.319074e+04
1.250202e+02	1.551753e+04	1.450827e+04
1.449239e+02	1.628918e+04	1.599622e+04
1.679962e+02	1.714065e+04	1.767557e+04
1.947418e+02	1.808772e+04	1.956944e+04
2.257453e+02	1.915002e+04	2.170298e+04
2.616847e+02	2.035193e+04	2.410294e+04
3.033458e+02	2.172351e+04	2.679709e+04
3.516395e+02	2.330158e+04	2.981314e+04
4.076216e+02	2.513054e+04	3.317735e+04
4.725164e+02	2.726314e+04	3.691262e+04
5.477425e+02	2.976083e+04	4.103602e+04
6.349450e+02	3.269345e+04	4.555585e+04
7.360303e+02	3.613808e+04	5.046834e+04
8.532087e+02	4.017680e+04	5.575420e+04
9.890424e+02	4.489295e+04	6.137538e+04
1.146501e+03	5.036604e+04	6.727270e+04
1.329028e+03	5.666529e+04	7.336492e+04
1.540614e+03	6.384228e+04	7.955002e+04
1.785884e+03	7.192361e+04	8.570915e+04
2.070203e+03	8.090460e+04	9.171350e+04
2.399786e+03	9.074539e+04	9.743374e+04
2.781840e+03	1.013705e+05	1.027510e+05
3.224718e+03	1.126725e+05	1.075680e+05
3.738104e+03	1.245196e+05	1.118186e+05
4.333223e+03	1.367667e+05	1.154737e+05
5.023086e+03	1.492674e+05	1.185436e+05
5.822778e+03	1.618860e+05	1.210755e+05
6.749784e+03	1.745076e+05	1.231468e+05
7.824372e+03	1.870444e+05	1.248570e+05
9.070037e+03	1.994387e+05	1.263178e+05
1.051402e+04	2.116625e+05	1.276438e+05
1.218788e+04	2.237139e+05	1.289460e+05
1.412824e+04	2.356134e+05	1.303264e+05
1.637750e+04	2.473979e+05	1.318758e+05
1.898485e+04	2.591173e+05	1.336733e+05
2.200730e+04	2.708309e+05	1.357874e+05
2.551093e+04	2.826065e+05	1.382775e+05
2.957236e+04	2.945207e+05	1.411952e+05
3.428038e+04	3.066607e+05	1.445848e+05
3.973793e+04	3.191272e+05	1.484814e+05
4.606434e+04	3.320374e+05	1.529077e+05
5.339793e+04	3.455273e+05	1.578673e+05
6.189906e+04	3.597522e+05	1.633366e+05
7.175359e+04	3.748843e+05	1.692535e+05
8.317700e+04	3.911060e+05	1.755054e+05
