"test","lamC","Nopt","error","log10cond"
"test1.dat",0.498911567372176,5,0.136733592925155,6.83858311687366
"test2.dat",2.18843963043246,7,0.022577767182862,3.80165081230084
"test3.dat",3.15724264752477,11,0.0059931926652968,5.10926796111571
"test4.dat",2.6659794341025,8,0.000790533998133051,4.06668621884469
"test5.dat",1.42402889214028,5,0.111488568790246,5.14571720294804
"test6.dat",3.38126453918786,8,0.0422227483083897,5.31176501615149
"test7.dat",2.97458089382433,9,0.0215095358504124,4.09164171104932
