s H
0.415759152701524 -0.814771629997471
0.4677208512797 -0.871904596388337
0.52617673790301 -0.929037308731315
0.591938458062643 -0.986168588200423
0.665919096936907 -1.04329568861701
0.749145857352517 -1.10041337492138
0.842774322241146 -1.1575126893578
0.948104499621894 -1.21457940547244
1.06659887289029 -1.27159221394628
1.19990270703759 -1.32852073255762
1.34986689274726 -1.38532347734409
1.51857364555312 -1.4419459654468
1.70836541688579 -1.49831913596203
1.92187741842994 -1.55435827007752
2.16207421138509 -1.60996256593119
2.43229086866285 -1.66501548030372
2.73627928154728 -1.71938589413281
3.07826025377506 -1.77293009882974
3.46298210634885 -1.82549454240099
3.89578660679697 -1.87691922431178
4.38268313829102 -1.92704159003542
4.93043213844117 -1.97570075246849
5.54663896629603 -2.02274185807961
6.23985950086728 -2.06802041943639
7.01971893738822 -2.11140645016355
7.89704543076296 -2.15278826039726
8.88402044181234 -2.19207579728918
9.99434787383693 -2.22920344321039
11.2434443479164 -2.26413221163459
12.6486532588706 -2.29685130546935
14.2294855839959 -2.32737902369936
16.0078907881476 -2.35576301901617
18.0085615866165 -2.38207992152207
20.2592767973579 -2.406434351871
22.7912870429914 -2.42895735188646
25.6397486579466 -2.44980426250922
28.8442118254499 -2.46915207874429
32.4491697220114 -2.48719631004772
36.5046762941486 -2.50414737331897
41.0670412450225 -2.52022654535662
46.1996118807033 -2.53566150328581
51.9736526718082 -2.55068148599908
58.4693347430051 -2.56551211786589
65.7768490291996 -2.58036994845681
73.9976585543026 -2.5954567791059
83.245907220159 -2.61095386873408
93.6500046663217 -2.62701613695364
105.354409206057 -2.64376651103348
118.521633594204 -2.66129059326093
133.334501476481 -2.67963185453453
149.998685850472 -2.69878758622405
168.745564784199 -2.71870586278174
189.83543404323 -2.73928377961708
213.561121232835 -2.76036723191591
240.25205163668 -2.78175248838478
270.278822205206 -2.80318978790042
304.058347202396 -2.82438914592515
342.059646956948 -2.8450285010215
384.810360093248 -2.86476425988267
432.904069662835 -2.88324421200612
487.008544897888 -2.90012268215021
547.875013021434 -2.91507766910231
616.348589851075 -2.92782958151005
693.380014022553 -2.93816102386549
780.038847759971 -2.94593690747066
877.528327482068 -2.95112396488378
987.202070441538 -2.95380854120724
1110.58286936495 -2.9542113419554
1249.38383605216 -2.95269767020396
1405.53218750888 -2.94978163536632
1581.19600487695 -2.94612292112397
1778.81433670334 -2.94251501424564
2001.13106452454 -2.93986434760323
2251.23300098125 -2.93916058349548
2532.5927494465 -2.94143918567952
2849.11692026251 -2.94773837621223
3205.20037305649 -2.95905338951527
3605.78723827696 -2.97629146409465
4056.43956521897 -3.0002311327641
4563.4145496995 -3.03148903566139
5133.75141366983 -3.0704967241617
5775.36914306689 -3.1174888670979
6497.17644096943 -3.17250308784772
7309.19542273133 -3.23539054083082
8222.70077056815 -3.30583543999444
9250.37627972413 -3.38338118175967
10406.4909698241 -3.46746049013701
11707.0972066727 -3.55742711618325
13170.2535853736 -3.6525869667622
14816.2756694446 -3.75222701917365
16668.0180673793 -3.85564090386225
18751.1917632198 -3.96215053263263
21094.7211071944 -4.07112356686152
23731.1454231483 -4.18198683717513
26697.0708089877 -4.29423604131874
30033.6784032713 -4.40744217206152
33787.2961751091 -4.52125518012979
38010.0421765253 -4.63540537807531
42760.5481886883 -4.74970305772607
48104.7738096533 -4.86403674122807
