"test","lamC_R","lamC_PY","lamC_reldiff","H_maxdiff","H_rmse"
"test1",NA,0.833782223471789,NA,0.0193559894659003,0.00709771513496678
"test2",NA,1.83298071083244,NA,0.00329227023455037,0.000810872114217648
"test3",NA,4.0296113202004,NA,8.45210912689964e-05,2.13524199239157e-05
"test4",NA,4.0296113202004,NA,0.000850872607997988,0.000188548274794483
"test5",NA,1.83298071083244,NA,0.00149232570140256,0.000612519285411489
"test6",NA,4.0296113202004,NA,2.89608318002621e-05,8.80225794815798e-06
"test7",NA,4.0296113202004,NA,6.17847374699831e-05,2.06692417893312e-05
