"test","lamC_R","lamC_PY","lamC_reldiff","H_maxdiff","H_rmse"
"test1",4.0296113202004,4.0296113202004,0,4.89679039983315e-07,2.6975890551794e-07
"test1n",4.0296113202004,4.0296113202004,0,4.9754906994437e-07,2.9064784011765e-07
"test1u",4.0296113202004,4.0296113202004,0,4.99083079752438e-07,2.78515727285759e-07
"test2",4.0296113202004,4.0296113202004,0,2.6192346100018e-05,6.45262014501291e-06
"test3",4.0296113202004,4.0296113202004,0,4.9251356006863e-06,1.8837709565003e-06
"test4",4.0296113202004,4.0296113202004,0,4.94266980055613e-06,2.24062152988593e-06
"test5",8.85866790410082,8.85866790410082,6.01565672840477e-16,6.80746135000021e-05,1.03568874883299e-05
"test6",4.0296113202004,4.0296113202004,0,0.00153407753678003,0.000483476099750096
"test7",4.0296113202004,4.0296113202004,0,4.97160230317206e-07,2.83296474988993e-07
