"test","Nopt_R","Nopt_PY","g_rmse","tau_reldiff"
"test1",2,2,2.71614863085296e-07,1.62300915529365e-06
"test2",4,5,NA,NA
"test3",10,10,0.000208347828549342,2.85137901164163e-05
"test4",8,8,1.22525822328481e-05,0.000349733517226396
"test5",5,5,3.84069713504005e-07,3.98371982939689e-06
"test6",8,8,144513.063335093,4.41523610104729e+101
"test7",8,8,0.00014562998711235,1.79511630887037e-05
