test,lamC,Nopt,error,log10cond
test1.dat,0.4985259639453335,5,0.13673664439314157,0.6081324574701116
test2.dat,2.1880614633019815,7,0.022576465084848493,1.3906079884475513
test3.dat,3.1572248688231266,11,0.005993197309439076,2.5333560692758295
test4.dat,2.6661133884301753,8,0.0007905171699873951,2.4945844489715685
test5.dat,1.4239864991556141,5,0.11149034770652601,2.5514368479126484
test6.dat,3.3812723247245797,8,0.042222669524815716,3.3499113004747234
test7.dat,2.9745884276946493,9,0.021509456580994693,1.8196183885459114
