3.000000e+00	1.005473e+02	2.248172e+04
4.000000e+00	2.256149e+01	2.258276e+04
5.000000e+00	5.055751e+00	2.296299e+04
6.000000e+00	2.095912e+00	2.376055e+04
7.000000e+00	1.077422e+00	2.542659e+04
8.000000e+00	7.360641e-01	2.827737e+04
9.000000e+00	6.769201e-01	3.273879e+04
1.000000e+01	6.702195e-01	3.931365e+04
1.100000e+01	6.501647e-01	4.851644e+04
1.200000e+01	6.191164e-01	6.136030e+04
1.300000e+01	5.947843e-01	7.653929e+04
1.400000e+01	5.701043e-01	1.028642e+05
1.500000e+01	5.576756e-01	1.346465e+05
1.600000e+01	5.515533e-01	1.759406e+05
1.700000e+01	5.510870e-01	2.282706e+05
1.800000e+01	5.540524e-01	2.933583e+05
1.900000e+01	5.577868e-01	3.729404e+05
2.000000e+01	5.606041e-01	4.691923e+05
2.100000e+01	5.870937e-01	2.071325e+05
2.200000e+01	5.577547e-01	7.261754e+05
2.300000e+01	5.692363e-01	5.207163e+05
2.400000e+01	5.314025e-01	1.126417e+06
2.500000e+01	5.051026e-01	1.433798e+06
