(*) Condition number of matrix equation: 2.827737e+04

		Modes
		-----

i 	    g(i) 	    tau(i)
---------------------------------------
1 	 7.49868e+05 	 2.49924e-06
2 	 1.73089e+05 	 6.30256e-05
3 	 1.29789e+05 	 3.85220e-04
4 	 1.53656e+04 	 4.66083e-03
5 	 5.76651e+03 	 8.68189e-02
6 	 3.79744e+03 	 6.95945e-01
7 	 1.29839e+03 	 2.15975e+00
8 	 2.14775e+01 	 1.30013e+02

