lam rho eta
0.00630957344480194 0.00341304889891834 0.063039196460414
0.0208929613085404 0.00481493218450882 0.0546624104640603
0.0691830970918937 0.00737013321109046 0.0469502314276235
0.229086765276778 0.0115374623043144 0.0399240694071629
0.758577575029185 0.0177593516785402 0.0341742482992219
2.51188643150958 0.0284003830443686 0.0287911166382
8.31763771102672 0.0474683477092954 0.0229100677105832
27.5422870333817 0.0727699371024009 0.0179722570687083
91.2010839355911 0.104464056358287 0.0145811631394283
301.995172040202 0.16218925705574 0.0111758628717213
1000 0.260465240676597 0.00709694298841139
