t K
2 0.656250394634437
2.179683 0.640508783161245
2.375509 0.625252901599065
2.588928 0.610487383181838
2.821521 0.596209194762958
3.075011 0.582409205162958
3.351274 0.56907378619817
3.652358 0.556185972783337
3.980491 0.543727013966846
4.338104 0.531677040246235
4.727846 0.520015911192363
5.152603 0.508723701270437
5.61552 0.497780969720119
6.120027 0.487168873470856
6.669859 0.47686937505768
7.269089 0.466865160711637
7.922155 0.457139716976595
8.633893 0.447677317576039
9.409575 0.43846298557596
10.25494 0.429482573108087
11.17626 0.420722502701911
12.18036 0.412170052965751
13.27466 0.403813355246041
14.46727 0.395641052540336
15.76703 0.387642487249715
17.18357 0.379807713980951
18.72736 0.372127568418948
20.40986 0.364593281264772
22.24351 0.357196931890004
24.2419 0.34993105786884
26.41983 0.342788819774583
28.79343 0.335763930008635
31.38027 0.328850653460802
34.19952 0.322043702985483
37.27205 0.315338325541527
40.62063 0.308730166575358
44.27005 0.302215348614587
48.24734 0.295790365048937
52.58195 0.289452090035908
57.30599 0.283197716259401
62.45444 0.277024766224624
68.06544 0.270931022414754
74.18054 0.264914537125774
80.84503 0.258973576585437
88.10827 0.253106599512235
96.02405 0.247312233193002
104.651 0.241589237270702
114.053 0.235936493638239
124.2997 0.23035295238032
135.4669 0.224837680081176
147.6375 0.219389648673713
160.9015 0.214008012514686
175.3571 0.208691872325476
191.1114 0.203440290897312
208.2812 0.198252290997095
226.9935 0.19312695084377
247.3869 0.188063252021979
269.6125 0.183060126901656
293.8349 0.178116486397443
320.2334 0.173231219226933
349.0037 0.168403132107224
380.3587 0.163631076063101
414.5307 0.158913850144511
451.7727 0.154250285263886
492.3606 0.149639217191121
536.5951 0.145079530134547
584.8035 0.140570217266852
637.3432 0.136110300232828
694.603 0.131698980198565
757.0072 0.12733555658353
825.0178 0.123019528204348
899.1386 0.118750568494618
979.9186 0.114528573696073
1067.956 0.11035368605327
1163.903 0.106226295595652
1268.469 0.102147122373955
1382.431 0.0981170319440733
1506.63 0.0941373925220412
1641.988 0.0902096945200988
1789.507 0.0863358213829798
1950.279 0.0825179484500895
2125.495 0.0787585133416279
2316.452 0.0750602415778447
2524.566 0.0714260577351706
2751.376 0.0678591741820089
2998.564 0.0643629080945539
3267.96 0.0609407656823799
3561.558 0.0575963503386707
3881.533 0.0543332909958129
4230.256 0.0511552103288337
4610.309 0.0480656928794454
5024.506 0.0450682080472233
5475.915 0.0421660485300887
5967.879 0.0393622901075236
6504.042 0.0366597321568776
7088.375 0.034060855930747
7725.205 0.0315677820174394
8419.249 0.0291822253462267
9175.646 0.0269054760539739
10000 0.0247383614668945
